alpha,area_under_train_loss_curve,area_under_val_loss_curve,best_epoch,best_val_loss,dataset,ensemble_size,fidelity_final,fidelity_initial,final_test_accuracy,final_test_cross_entropy,final_test_explained_variance,final_test_macro_f1,final_test_mae,final_test_mse,final_test_precision_macro,final_test_r2,final_test_recall_macro,init_seed,initial_test_accuracy,initial_test_cross_entropy,initial_test_explained_variance,initial_test_macro_f1,initial_test_mae,initial_test_mse,initial_test_precision_macro,initial_test_r2,initial_test_recall_macro,initial_train_loss,initial_val_loss,model_name,setting,split_seed,task,training_time_total
,,,,,diabetes,0,,,,,0.09387586548671578,,53.9612457914646,4647.551555586217,,0.09367829750183065,,0,,,0.09387586548671578,,53.9612457914646,4647.551555586217,,0.09367829750183065,,,,source_tree,single_tree,0,regression,0.0
0.5,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,1.4776686669999999
1.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,0.20499904199999985
2.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,1,3115.588063083698,3115.588063083698,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft,single_tree,0,regression,0.21859245800000027
5.0,49.991214752197266,44.256351947784424,49,0.8850633502006531,diabetes,1,3113.293781858364,3115.0532052427466,,,0.0008330936822735779,,59.40251142523262,5123.889352888842,,0.0007873896222537757,,0,,,0.00016356744855339223,,59.460843375559605,5127.38251589039,,0.00010618589577515714,,0.9999239444732666,0.8851742148399353,coexplain_soft,single_tree,0,regression,0.21403662499999987
10.0,42.86181378364563,38.58809071779251,49,0.7460558414459229,diabetes,1,2616.310298884144,2795.5888161738512,,,0.07276549926529141,,57.08237157243021,4757.518223028406,,0.07223363442230857,,0,,,0.041927870056277405,,58.12261482838834,4913.107984905842,,0.04189198545091666,,0.8825153708457947,0.7935610413551331,coexplain_soft,single_tree,0,regression,0.22316175000000005
20.0,28.607363879680634,23.703716307878494,49,0.4634111523628235,diabetes,1,1285.5260785712467,1438.9973381982059,,,0.24045250270916851,,51.330328952060654,3925.4526645512324,,0.23449521765158854,,0,,,0.22783542815629287,,51.85360031985165,3994.462511024362,,0.22103756779088135,,0.6030597686767578,0.4871915280818939,coexplain_soft,single_tree,0,regression,0.212976292
50.0,20.14474394917488,15.528214782476425,38,0.31046485900878906,diabetes,1,369.4553180180512,386.6375136124204,,,0.2598788690841861,,49.59783965550112,3800.8448866263825,,0.2587950521090717,,0,,,0.2664468661890812,,49.59050952182727,3769.532059767755,,0.2649013844884146,,0.4086150527000427,0.31080493330955505,coexplain_soft,single_tree,0,regression,0.2253121250000003
100.0,18.11084035038948,13.691356778144836,0,0.2723315954208374,diabetes,1,181.19809947673525,185.35095833887627,,,0.18639044106378655,,51.217891350221095,4172.130453824406,,0.18639044005663674,,0,,,0.18950691106896134,,51.15501228075349,4156.293928168541,,0.18947873003522275,,0.3644973933696747,0.2722793221473694,coexplain_soft,single_tree,0,regression,0.22756437500000049
0.5,33.183954894542694,28.64083856344223,44,0.3798920512199402,diabetes,1,1490.6896763736995,3115.588063083698,,,0.3496965248863667,,45.834456540225595,3352.247361247335,,0.34627631360240896,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft_zero_padded,single_tree,0,regression,0.6956679999999995
1.0,28.975835621356964,25.313195139169693,35,0.3755587637424469,diabetes,1,1406.3497510476286,3115.588063083698,,,0.2925173136696827,,46.576039689310484,3652.994506765696,,0.28762743974106575,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft_zero_padded,single_tree,0,regression,0.6657891669999998
2.0,25.204853802919388,23.618641883134842,48,0.3903314769268036,diabetes,1,1445.9591259054553,3115.588063083698,,,0.29650576642413995,,47.1590108121379,3722.8479893955696,,0.274005271908105,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,coexplain_soft_zero_padded,single_tree,0,regression,0.6588691249999998
5.0,21.084846884012222,22.360936760902405,7,0.39684978127479553,diabetes,1,1281.1447744141387,3115.0532052427466,,,0.2661378711438258,,47.39061921366145,3809.2891045895085,,0.2571483403062931,,0,,,0.00016356744855339223,,59.460843375559605,5127.38251589039,,0.00010618589577515714,,0.9999239444732666,0.8851742148399353,coexplain_soft_zero_padded,single_tree,0,regression,0.6576616659999992
10.0,18.11502230167389,21.711525917053223,38,0.4011780023574829,diabetes,1,1468.1009074581875,2795.588749711691,,,0.24382705570184304,,47.78277699331219,3932.277708731984,,0.23316426185958894,,0,,,0.04192786686778549,,58.12261482838834,4913.10800184456,,0.041891982147687745,,0.8825154304504395,0.7935609817504883,coexplain_soft_zero_padded,single_tree,0,regression,0.6555305000000002
20.0,15.154093518853188,22.20396387577057,13,0.38542303442955017,diabetes,1,1225.997087141605,1438.9974588240832,,,0.21051080820261392,,50.175887675767534,4056.4675551662967,,0.20894592846250293,,0,,,0.2278353811595406,,51.853603148728276,3994.462761130514,,0.22103751901753665,,0.6030597686767578,0.4871915876865387,coexplain_soft_zero_padded,single_tree,0,regression,0.6528610410000004
50.0,12.187830805778503,22.986506521701813,1,0.3331447243690491,diabetes,1,1048.2260668536373,386.63742483724417,,,0.06499133290335912,,55.364914540494425,4818.817655811076,,0.060279596771024346,,0,,,0.2664468709175165,,49.59050892176253,3769.532034072732,,0.2649013894992158,,0.4086150527000427,0.31080496311187744,coexplain_soft_zero_padded,single_tree,0,regression,0.6530268750000001
100.0,11.272924184799194,21.396859288215637,0,0.30340248346328735,diabetes,1,1227.4080950670282,185.35097033098714,,,-0.11137184507554743,,60.29099796595198,5737.462644899592,,-0.11886589102918532,,0,,,0.1895068763257851,,51.155013823777104,4156.2941054165685,,0.18947869546998297,,0.3644973933696747,0.2722793221473694,coexplain_soft_zero_padded,single_tree,0,regression,0.6543075839999997
,46.66622722148895,41.682613492012024,49,0.7641741633415222,diabetes,1,2532.985543078687,3318.256732660826,,,0.12568139405840573,,56.24952372004477,4516.575517067167,,0.11922001012132133,,0,,,-0.013527226007764792,,59.28353161758251,5308.011259247836,,-0.035118329258457814,,1.0399328470230103,0.8596425652503967,djinn,single_tree,0,regression,0.25532483299999953
,50.00054186582565,43.00403022766113,6,0.856862485408783,diabetes,1,3025.701381498722,3318.256732660826,,,0.019529264423835624,,58.862588089503596,5027.854007045621,,0.01951529766235094,,0,,,-0.013527226007764792,,59.28353161758251,5308.011259247836,,-0.035118329258457814,,1.0399328470230103,0.8596425652503967,djinn_sparse_fixed,single_tree,0,regression,0.273682667000001
0.5,51.27087742090225,51.12491536140442,49,0.9437575936317444,diabetes,1,3115.3724579450236,3864.888351981615,,,0.024335095258314343,,60.855365195970855,5211.8349625573155,,-0.016362934312542654,,0,,,0.03683143661692556,,65.52471426631628,5962.3719868771495,,-0.16272559119406727,,1.1029008626937866,1.1539230346679688,path_expansion,single_tree,0,regression,0.20672399999999946
1.0,47.62215459346771,47.34450352191925,49,0.876015305519104,diabetes,1,2832.7643967429967,3478.3942911660147,,,0.06988546094736225,,59.29237057117933,4944.287172226411,,0.035811714194770916,,0,,,0.07269819694859336,,63.427497092257724,5591.051620365801,,-0.0903141929075213,,1.0208206176757812,1.0632214546203613,path_expansion,single_tree,0,regression,0.2009770409999998
2.0,41.03688794374466,40.50803995132446,49,0.7485323548316956,diabetes,1,2312.517870306331,2817.516793891805,,,0.1561018284570328,,56.17223229568996,4452.674820039568,,0.13168132180946446,,0,,,0.13805396433991957,,59.787909861361044,4959.769355986113,,0.03279252463320126,,0.8787017464637756,0.9034808278083801,path_expansion,single_tree,0,regression,0.2035356670000006
5.0,29.588586151599884,28.21166467666626,49,0.525455117225647,diabetes,1,1446.3106158714938,1695.8567681420157,,,0.2926260774687163,,49.67801126201501,3666.175018043274,,0.2850571006543411,,0,,,0.2601183798091369,,52.26498918854789,3921.068726344694,,0.23535013196323729,,0.6306245923042297,0.6149269342422485,path_expansion,single_tree,0,regression,0.20572154099999906
10.0,24.015970081090927,22.057848066091537,49,0.42803317308425903,diabetes,1,1058.9812053868923,1124.5042117801431,,,0.32938632249514566,,46.199522554204705,3447.5748751624697,,0.32768644027380955,,0,,,0.31921865532057647,,47.282260937637155,3502.260335221007,,0.3170221972483446,,0.49856600165367126,0.45783936977386475,path_expansion,single_tree,0,regression,0.19447525
20.0,21.160822302103043,19.144849598407745,49,0.3814399242401123,diabetes,1,735.9412341523646,747.4122815564847,,,0.3225483832043248,,46.83150379309493,3476.6366875244344,,0.3220190795264244,,0,,,0.32535906421018024,,47.05175292625856,3459.830299903205,,0.32529650284481837,,0.4303615391254425,0.38495466113090515,path_expansion,single_tree,0,regression,0.2072597080000005
50.0,19.18942740559578,15.905802249908447,0,0.31687361001968384,diabetes,1,354.49232469025577,353.82189865263643,,,0.25294470706697514,,49.63851907280054,3831.415983028158,,0.25283336501282216,,0,,,0.2571504814775435,,49.62030882246039,3809.3170482365945,,0.2571428909995994,,0.3865022659301758,0.3168677091598511,path_expansion,single_tree,0,regression,0.21030137500000023
100.0,18.14638864994049,13.958465188741684,0,0.2775658369064331,diabetes,1,196.09787921350818,193.21828351479527,,,0.18449567857510063,,51.39880195360505,4182.722017568954,,0.18432497311769802,,0,,,0.18678013561781537,,51.375512498148375,4170.645519832335,,0.18668001788868316,,0.36484384536743164,0.2775132954120636,path_expansion,single_tree,0,regression,0.21342291700000082
,49.70489698648453,46.80388951301575,49,0.8417401909828186,diabetes,1,2878.4581041453816,3579.90991685227,,,0.054186147675416296,,58.315265441208744,4879.4460784769935,,0.048456413188627034,,0,,,-0.007486428774444498,,63.160093328926,5639.881942828099,,-0.0998366221820004,,1.075873851776123,1.066191554069519,mlp,single_tree,0,regression,0.14870254100000047
,,,,,diabetes,0,,,,,0.25459485471843624,,48.87396889188112,3826.511041682936,,0.2537898804462684,,0,,,0.25459485471843624,,48.87396889188112,3826.511041682936,,0.2537898804462684,,,,source_tree,ensemble_10,0,regression,0.0
0.5,50.000336050987244,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.000048279762268,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.4051848330000016
1.0,50.0013085603714,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0000956058502197,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.457459334000001
2.0,50.00476098060608,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0001847743988037,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.4264450839999991
5.0,48.44281220436096,43.206839978694916,49,0.8493251800537109,diabetes,10,2718.550687837662,2841.8438150803554,,,0.030315841388140474,,58.491171676121404,4972.818342404354,,0.030247834284959696,,0,,,0.007936881463596501,,59.210000370325666,5087.272379454429,,0.007928086676709856,,0.9830986857414246,0.8739216923713684,coexplain_soft,ensemble_10,0,regression,1.497138624999998
